Nombre,Dirección,Latitud,Longitud
Qhatu Plaza Santa Clara,"Av. La Estrella N° 286, 286 - Lima Ate, Lima - Lima",-12.018.220,-76.883.866
Real Plaza Puruchuco,"Av. Nicolás Ayllón 4770, Ate, 4770 - , Lima - Lima",-12.039.949,-76.931.465
Park Office La Molina,"Av. Javier Prado Este 6210, La Molina, 6210 - La Molina, Lima - Lima",-12.071.844,-76.957.115
Corregidor,"Av. Alameda del corregidor 1480 - 1490, 1480 - , Lima - Lima",-12.102.959,-76.948.721
La Fontana,"Av. La Molina 1120, Distrito de La Molina, 1120 - , Lima - Lima",-12.075.341,-76.936.778
Camacho,"Av. Javier Prado Este 5193 La Molina, 5193 - , Lima - Lima",-12.080.118,-76.967.031
Patio Panorama,"Av. Circunvalacion del Golf los Incas 134, Urb. Del Club Golf Los Incas, Santiago de Surco - , Lima - Lima",-12.090.455,-76.966.919
Mall Aventura Santa Anita,"Av. Carretera Central 111 Int. GM01 (Mall Aventura Santa Anita) Lima, Santa Anita, 111 - , Lima - Lima",-12.056.291,-76.971.054
Jockey Plaza,"Av. Javier Prado Este 4200, Santiago de Surco, 4200 - , Lima - Lima",-12.081.737,-76.967.493
El Polo,"Av. El Polo 695, Santiago de Surco, 695 - , Lima - Lima",-12.101.246,-76.972.113
Monterrico,"Av. Primavera 1550 Urb. Centro Comercial Monterrico, Santiago de Surco, 1550 - , Lima - Lima",-12.109.807,-76.972.076
Valle Hermoso,"Avenida de los Ingenieros 106, Santiago de Surco, 106 - , Lima - Lima",-12.124.378,-76.976.544
Real Plaza Villa María,"Av. Pachacutec, 3721 - Villa Maria del Triunfo, Lima - Lima",-12.181.985,-76.942.581
Open Plaza Atocongo,"Av. Circunvalación 1801, 1801 - , Lima - Lima",-12.147.579,-76.980.746
San Borja,"Av. Javier Prado Este 1980, 1980 - , Lima - Lima",-12.088.934,-77.006.001
Mall del Sur,"Av. Los Lirios 301 - Locales: LCS-4114 y TIS-5006, 301 - , Lima - Lima",-12.155.520,-76.982.405
Plaza Vea Bolichera,"Av. Tomás Marsano 5000, 1er Nivel, Santiago de Surco, 5000 - , Lima - Lima",-12.147.606,-76.986.868
Agustino Plaza,"Jirón Ancash N°2151 Dpto. 0210 Mz.H Lt.01, distrito de El Agustino, 2151 - , Lima - Lima",-12.041.291,-77.003.137
Higuereta,"Av. Aviación 5150 con Av. Tomás Marsano 2975 (Tienda A 3er Nivel y Área Adicional), 5150 - , Lima - Lima",-12.127.993,-77.000.887
Gamarra,"Jirón Gamarra 1215 – La Victoria, 1215 - , Lima - Lima",-12.070.567,-77.013.109
Mall Aventura SJL,"Av. Lurigancho No. 997-999 Sublote No. 2 y 3 de la Manzana A, Urb. Zarate Industrial, 997 - , Lima - Lima",-12.016.064,-76.999.358
Open Plaza Angamos,"Av. Angamos 1803, Distrito de Surquillo, Lima, 1803 - , Lima - Lima",-12.112.183,-77.011.278
República de Panamá,"Av. República de Panamá 4145 - Surquillo, 4145 - , Lima - Lima",-12.116.153,-77.018.354
Villarán,"Av. Carlos Villarán 500 - , Lima - Lima",-12.089.777,-77.020.186
